INDEX_NUMBER,STATENAME,SCH_NAME,WEBSITE
739,ALABAMA,Chapman Elementary School,http://www.huntsvillecityschools.org
740,ALABAMA,Martin Luther King Jr Elementary School,http://www.huntsvillecityschools.org
741,ALABAMA,Academy For Science  Foreign Language,http://www.huntsvillecityschools.org
742,ALABAMA,Farley Elementary School,http://www.huntsvillecityschools.org
743,ALABAMA,Virgil Grissom High School,http://www.huntsvillecityschools.org
744,ALABAMA,Highlands Elementary School,http://www.huntsvillecityschools.org
745,ALABAMA,Huntsville High School,http://www.huntsvillecityschools.org
746,ALABAMA,Huntsville Junior High School,http://www.huntsvillecityschools.org
747,ALABAMA,Jones Valley Elementary School,http://www.huntsvillecityschools.org
748,ALABAMA,Lakewood Elementary School,http://www.huntsvillecityschools.org
749,ALABAMA,Lee High School,http://www.huntsvillecityschools.org
750,ALABAMA,McDonnell Elementary School,http://www.huntsvillecityschools.org
751,ALABAMA,Monte Sano Elementary School,http://www.huntsvillecityschools.org
752,ALABAMA,Montview Elementary School,http://www.huntsvillecityschools.org
753,ALABAMA,Mountain Gap Elementary School,http://www.huntsvillecityschools.org
754,ALABAMA,Ridgecrest Elementary School,http://www.huntsvillecityschools.org
755,ALABAMA,Rolling Hills Elementary School,http://www.huntsvillecityschools.org
756,ALABAMA,James Dawson Elementary,http://www.huntsvillecityschools.org
757,ALABAMA,Weatherly Heights Elementary School,http://www.huntsvillecityschools.org
758,ALABAMA,Whitesburg Elementary School,http://www.huntsvillecityschools.org
759,ALABAMA,New Century Technology High School,http://www.huntsvillecityschools.org
760,ALABAMA,Huntsville Center For Technology,http://www.huntsvillecityschools.org
761,ALABAMA,Chapman Middle School,http://www.huntsvillecityschools.org
762,ALABAMA,Morris Elementary School,http://www.huntsvillecityschools.org
763,ALABAMA,Mountain Gap Middle School,http://www.huntsvillecityschools.org
764,ALABAMA,Whitesburg Middle School,http://www.huntsvillecityschools.org
765,ALABAMA,Columbia High School,http://www.huntsvillecityschools.org
766,ALABAMA,Mental Health Center,
767,ALABAMA,Challenger Elementary School,http://www.huntsvillecityschools.org
768,ALABAMA,Challenger Middle School,http://www.huntsvillecityschools.org
769,ALABAMA,Williams Elementary School,http://www.huntsvillecityschools.org
770,ALABAMA,Hampton Cove Middle School,http://www.huntsvillecityschools.org
771,ALABAMA,Williams Middle School,http://www.huntsvillecityschools.org
772,ALABAMA,Providence Elementary,http://www.huntsvillecityschools.org
773,ALABAMA,GoldsmithSchiffman Elementary,http://www.huntsvillecityschools.org
774,ALABAMA,Ronald McNair 78,http://www.huntsvillecityschools.org
775,ALABAMA,Jemison High School,http://www.huntsvillecityschools.org
776,ALABAMA,Sonnie Hereford Elementary School,http://www.huntsvillecityschools.org
777,ALABAMA,Academy for Academics and Arts Middle School,http://www.huntsvillecityschools.org
778,ALABAMA,Morris Middle School,http://www.huntsvillecityschools.org
779,ALABAMA,Academy For Science  Foreign Language Middle School,http://www.huntsvillecityschools.org
782,ALABAMA,Bryant School,
784,ALABAMA,Flat Rock School,
785,ALABAMA,Hollywood Elementary School,
787,ALABAMA,Rosalie Elementary School,
790,ALABAMA,Woodville High School,
791,ALABAMA,Jackson County Alternative School,
792,ALABAMA,Epruett Center Of Technology,
797,ALABAMA,North Jackson High School,
804,ALABAMA,Jasper Junior High School,http://www.nonesupplied.com
862,ALABAMA,Sulligent School,http://www.lamarcountyk12.com
863,ALABAMA,Vernon Elementary School,http://www.lamarcountyk12.com
864,ALABAMA,Lamar County School Of Technology,http://www.lamarcountyk12.com
865,ALABAMA,Lamar County HighIntermediate,http://www.lamarcountyk12.com
866,ALABAMA,South Lamar School,http://www.lamarcountyk12.com
870,ALABAMA,Allen Thornton Career Technical Center,http://www.lcschools.org
871,ALABAMA,Brooks High School,http://www.lcschools.org
873,ALABAMA,Lauderdale County High School,http://www.lcschools.org
874,ALABAMA,Lexington High School,http://www.lcschools.org
875,ALABAMA,Rogers High School,http://www.lcschools.org
876,ALABAMA,Underwood Elementary School,http://www.lcschools.org
877,ALABAMA,Waterloo High School,http://www.lcschools.org
878,ALABAMA,Wilson High School,http://www.lcschools.org
879,ALABAMA,Brooks Elementary School,http://www.lcschools.org
880,ALABAMA,Central Elementary School,http://www.lcschools.org
881,ALABAMA,Lauderdale Elementary School,http://www.lcschools.org
882,ALABAMA,Lexington Elementary School,http://www.lcschools.org
883,ALABAMA,Rogers Elementary School,http://www.lcschools.org
884,ALABAMA,Wilson Elementary School,http://www.lcschools.org
885,ALABAMA,The Judy Jester Learning Center,
889,ALABAMA,Hazlewood Elementary School,
891,ALABAMA,Moulton Elementary School,
895,ALABAMA,Lawrence County Career Technical Center,
898,ALABAMA,Lawrence County Developmental,http://www.nonesupplied.com
899,ALABAMA,Beauregard Elementary School,http://www.lee.k12.al.us
900,ALABAMA,Beulah Elementary School,http://www.lee.k12.al.us
901,ALABAMA,Loachapoka Elementary School,http://www.lee.k12.al.us
902,ALABAMA,South Smiths Station Elementary School,http://www.lee.k12.al.us
903,ALABAMA,East Smiths Station Elementary School,http://www.lee.k12.al.us
904,ALABAMA,Beauregard High School,http://www.lee.k12.al.us
905,ALABAMA,Beulah High School,http://www.lee.k12.al.us
906,ALABAMA,Loachapoka High School,http://www.lee.k12.al.us
907,ALABAMA,Sanford Middle School,http://www.lee.k12.al.us
908,ALABAMA,West Smiths Station Elementary School,http://www.lee.k12.al.us
909,ALABAMA,Smiths Station High School,http://www.lee.k12.al.us
910,ALABAMA,Smiths Station Junior High School,http://www.lee.k12.al.us
911,ALABAMA,Wacoochee Elementary School,http://www.lee.k12.al.us
912,ALABAMA,Smith Station Freshman Center,http://www.lee.k12.al.us
928,ALABAMA,Elkmont Elementary School,
929,ALABAMA,Alabama Connections Academy,http://www.nonesupplied.com
937,ALABAMA,Lowndes County Career Technical Center,http://www.lowndesboe.org
938,ALABAMA,Project Success Learning Center,http://www.lowndesboe.org
942,ALABAMA,Notasulga High School,http://www.maconk12.org
943,ALABAMA,Tuskegee Institute Middle School,http://www.maconk12.org
944,ALABAMA,Tuskegee Public Elementary,http://www.maconk12.org
945,ALABAMA,DC Wolfe School,http://www.maconk12.org
946,ALABAMA,Booker T Washington High,http://www.maconk12.org
947,ALABAMA,George Washington Carver Elementary School,http://www.maconk12.org
949,ALABAMA,Hazel Green Elementary School,http://www.mcssk12.org
950,ALABAMA,Madison County High School,http://www.mcssk12.org
951,ALABAMA,Monrovia Middle School,http://www.mcssk12.org
952,ALABAMA,New Hope Elementary School,http://www.mcssk12.org
953,ALABAMA,Harvest School,http://www.mcssk12.org
954,ALABAMA,Hazel Green High School,http://www.mcssk12.org
955,ALABAMA,Madison County Elementary School,http://www.mcssk12.org
956,ALABAMA,Madison Cross Roads Elementary School,http://www.mcssk12.org
957,ALABAMA,Monrovia Elementary School,http://www.mcssk12.org
958,ALABAMA,New Hope High School,http://www.mcssk12.org
959,ALABAMA,New Market School,http://www.mcssk12.org
960,ALABAMA,Owens Cross Roads School,http://www.mcssk12.org
961,ALABAMA,Sparkman High School,http://www.mcssk12.org
962,ALABAMA,Walnut Grove School,http://www.mcssk12.org
963,ALABAMA,Madison County Alternative School,http://www.mcssk12.org
964,ALABAMA,Madison County Career Technical Center,http://www.mcssk12.org
965,ALABAMA,Meridianville Middle School,http://www.mcssk12.org
966,ALABAMA,Sparkman Middle School,http://www.mcssk12.org
967,ALABAMA,Endeavor Elementary School,http://www.mcssk12.org
968,ALABAMA,Mt Carmel Elementary School,http://www.mcssk12.org
969,ALABAMA,Buckhorn High School,http://www.mcssk12.org
970,ALABAMA,Central School,http://www.mcssk12.org
971,ALABAMA,Lynn Fanning Elementary School,http://www.mcssk12.org
972,ALABAMA,Legacy Elementary School,http://www.mcssk12.org
973,ALABAMA,Sparkman Ninth Grade School,http://www.mcssk12.org
974,ALABAMA,Riverton Elementary School,http://www.mcssk12.org
975,ALABAMA,Buckhorn Middle School,http://www.mcssk12.org
976,ALABAMA,Riverton Intermediate School,http://www.mcssk12.org
977,ALABAMA,Moores Mill Intermediate School,http://www.mcssk12.org
978,ALABAMA,Madison County Virtual Academy,http://www.mcssk12.org
983,ALABAMA,Marion County High School,http://www.mcbe.net
984,ALABAMA,Guin Elementary School,http://www.mcbe.net
985,ALABAMA,Hackleburg High School,http://www.mcbe.net
986,ALABAMA,Hamilton Middle School,http://www.mcbe.net
989,ALABAMA,Marion County Alternative School,http://www.mcbe.net
991,ALABAMA,Hamilton Elementary School,http://www.mcbe.net
992,ALABAMA,Hackleburg Elementary School,http://www.mcbe.net
994,ALABAMA,Midfield High School,http://www.midfield.k12.al.us
996,ALABAMA,Midfield Area Vocational Department,http://www.midfield.k12.al.us
1017,ALABAMA,Forest Hill Elementary School,
1022,ALABAMA,ClarkShaw Magnet School,
1032,ALABAMA,Orchard Elementary School,
1053,ALABAMA,Florence Howard Elementary School,http://www.mcpss.com
1068,ALABAMA,Mobile Mental Health Center,
1070,ALABAMA,Augusta Evans School,
1081,ALABAMA,Breitling Elementary School,
1084,ALABAMA,Evening Educational Options,http://www.nonesupplied.com
1087,ALABAMA,Citronelle Center for Advanced Technology,http://www.nonesupplied.com
1088,ALABAMA,Barton Academy For Advanced World Studies,http://www.mcpss.com
1095,ALABAMA,C P Carmichael Alternative School,
1147,ALABAMA,McKee PreK Center,
1175,ALABAMA,Muscle Shoals Middle School,http://www.mscs.k12.al.us
1176,ALABAMA,Highland Park Elementary School,http://www.mscs.k12.al.us
1177,ALABAMA,Muscle Shoals High School,http://www.mscs.k12.al.us
1178,ALABAMA,Webster Elementary School,http://www.mscs.k12.al.us
1179,ALABAMA,Muscle Shoals Career Academy,http://www.mscs.k12.al.us
1180,ALABAMA,McBride Elementary School,http://www.mscs.k12.al.us
1181,ALABAMA,Howell Graves Preschool,http://www.mscs.k12.al.us
1182,ALABAMA,Oneonta Elementary School,http://www.oneontacityschools.com
1183,ALABAMA,Oneonta High School,http://www.oneontacityschools.com
1185,ALABAMA,West Forest Intermediate School,http://www.opelikaschools.org
1186,ALABAMA,Northside School,http://www.opelikaschools.org
1187,ALABAMA,Carver Primary School,http://www.opelikaschools.org
1188,ALABAMA,Jeter Primary School,http://www.opelikaschools.org
1190,ALABAMA,Opelika Middle School,http://www.opelikaschools.org
1191,ALABAMA,Morris Avenue Intermediate School,http://www.opelikaschools.org
1192,ALABAMA,Southview Primary School,http://www.opelikaschools.org
1193,ALABAMA,Opelika Learning Center,http://www.opelikaschools.org
1197,ALABAMA,Oxford High School,http://oxfordcityschools.com
1198,ALABAMA,Oxford Elementary School,http://oxfordcityschools.com
1199,ALABAMA,Oxford Middle School,http://oxfordcityschools.com
1200,ALABAMA,Oxford Area Vocational School,http://oxfordcityschools.com
1201,ALABAMA,CE Hanna School,http://oxfordcityschools.com
